PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;SP;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;SP;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;TO;2025;Jan;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;2;1;0;2;0;0
BRASIL;TO;2025;Jan;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;TO;2025;Jan;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;TO;2025;Jan;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;TO;2025;Jan;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PF;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;PF;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PF;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PF;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PF;2025;Fev;Crimes de alta tecnologia;1;0;0;2;0;0
BRASIL;AC;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;AC;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AC;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AC;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AC;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AL;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;0;0;0;0;0
BRASIL;AL;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AL;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AL;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AL;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;AM;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;1;0;0
BRASIL;AM;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;AM;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;AM;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;AM;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
